station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,O3_1,O3_2,O3_3,O3_diff_1,O3_diff_2,PM10_1,NO2_1,power_area_50_1,power_area_50_2,target
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.8660254037844387,0.49999999999999994,0.425,0.0,12.0,13.0,9.0,-1.0,3.0,14.0,38.0,108.84486476866644,97.45497615780448,19.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.9659258262890682,0.258819045102521,2.175,0.0,19.0,12.0,13.0,7.0,6.0,12.0,36.0,115.7807168116728,108.84486476866644,32.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-1.0,1.2246467991473532e-16,4.275,0.0,32.0,19.0,12.0,13.0,20.0,6.0,26.0,120.00246153788,115.7807168116728,41.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.9659258262890683,-0.2588190451025208,5.675,0.0,41.0,32.0,19.0,9.0,22.0,5.0,20.0,121.32064106646436,120.00246153788,46.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.8660254037844388,-0.4999999999999998,6.475,0.0,46.0,41.0,32.0,5.0,14.0,5.0,17.0,116.56615895734475,121.32064106646436,49.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.7071067811865479,-0.7071067811865471,7.4,0.0,49.0,46.0,41.0,3.0,8.0,4.0,16.0,112.64639198508934,116.56615895734475,47.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.5000000000000004,-0.8660254037844384,7.8,0.0,47.0,49.0,46.0,-2.0,1.0,5.0,21.0,112.2503735715416,112.64639198508934,26.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.25881904510252063,-0.9659258262890683,6.8,0.0,26.0,47.0,49.0,-21.0,-23.0,7.0,49.0,114.32305981397054,112.2503735715416,6.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-1.8369701987210297e-16,-1.0,5.025,0.0,6.0,26.0,47.0,-20.0,-41.0,12.0,72.0,124.6004688488937,114.32305981397054,4.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.2588190451025203,-0.9659258262890684,4.025,0.0,4.0,6.0,26.0,-2.0,-22.0,19.0,74.0,136.99904397906022,124.6004688488937,5.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.5,-0.8660254037844386,3.2,0.0,5.0,4.0,6.0,1.0,-1.0,23.0,68.0,142.03236261223523,136.99904397906022,5.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.7071067811865475,-0.7071067811865477,3.075,0.0,5.0,5.0,4.0,0.0,1.0,26.0,67.0,140.4127624395491,142.03236261223523,7.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.8660254037844384,-0.5000000000000004,2.8,0.0,7.0,5.0,5.0,2.0,2.0,26.0,61.0,132.39455678628977,140.4127624395491,6.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.9659258262890681,-0.2588190451025215,2.25,0.0,6.0,7.0,5.0,-1.0,1.0,25.0,59.0,119.6091214888818,132.39455678628977,8.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.9659258262890683,0.25881904510252074,2.075,0.0,8.0,6.0,7.0,2.0,1.0,25.0,53.0,106.66153124082606,119.6091214888818,16.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.8660254037844387,0.49999999999999994,2.175,0.0,16.0,8.0,6.0,8.0,10.0,17.0,41.0,83.7962238822034,106.66153124082606,18.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.7071067811865476,0.7071067811865475,1.925,0.0,18.0,16.0,8.0,2.0,10.0,15.0,37.0,78.02701973034513,83.7962238822034,25.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.5000000000000001,0.8660254037844386,2.1,0.0,25.0,18.0,16.0,7.0,9.0,12.0,29.0,77.11815160369646,78.02701973034513,21.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.25881904510252074,0.9659258262890683,1.55,0.0,21.0,25.0,18.0,-4.0,3.0,10.0,33.0,76.3410730277463,77.11815160369646,18.0
